,lat,lon,name,next,weights,node,weight
0,51.0,2.5,Belgium,"[[51.0, 2.5], [51.5, 2.5], [51.0, 3.125], [51.5, 3.125], [51.5, 3.75], [51.5, 4.375]]","[0.21254536178717431, 0.5628505417346452, 0.4141226287342114, 0.6656746601332187, 1.1621939485111634, 1.7434210033059891]","[51.0, 2.5]",0.21254536178717431
1,51.0,3.125,Belgium,"[[51.0, 2.5], [51.5, 2.5], [51.0, 3.125], [51.5, 3.125], [51.5, 3.75], [51.5, 4.375]]","[0.6292978625007462, 0.802758432543898, 0.004582283493231917, 0.4984238142327675, 0.7960411397461469, 1.3417103613456778]","[51.0, 3.125]",0.004582283493231917
2,51.5,3.125,Belgium,"[[51.0, 2.5], [51.5, 2.5], [51.0, 3.125], [51.5, 3.125], [51.5, 3.75], [51.5, 4.375]]","[0.7835956581904289, 0.7546154413323244, 0.31144934984420525, 0.22896070903250065, 0.5627180006576581, 1.1671032903079481]","[51.5, 3.125]",0.22896070903250065
3,51.5,3.75,Belgium,"[[51.0, 2.5], [51.5, 2.5], [51.0, 3.125], [51.5, 3.125], [51.5, 3.75], [51.5, 4.375]]","[1.168542021036479, 1.1597616255149878, 0.578874209580616, 0.5609384312085696, 0.255942999897038, 0.7730535005973773]","[51.5, 3.75]",0.255942999897038
4,51.5,4.375,Belgium,"[[51.0, 2.5], [51.5, 2.5], [51.0, 3.125], [51.5, 3.125], [51.5, 3.75], [51.5, 4.375]]","[1.989150910998149, 1.9675808249890157, 1.377133652766062, 1.345789750934553, 0.7295038071021407, 0.1856113020064998]","[51.5, 4.375]",0.1856113020064998
5,51.0,1.875,France,"[[48.0, -5.0], [48.5, -5.0], [47.5, -4.375], [48.0, -4.375], [48.5, -4.375], [49.0, -4.375], [47.5, -3.75], [48.0, -3.75], [48.5, -3.75], [49.0, -3.75], [47.0, -3.125], [47.5, -3.125], [48.5, -3.125], [49.0, -3.125], [46.5, -2.5], [47.0, -2.5], [47.5, -2.5], [48.5, -2.5], [49.0, -2.5], [49.5, -2.5], [43.5, -1.875], [44.0, -1.875], [46.0, -1.875], [46.5, -1.875], [47.0, -1.875], [47.5, -1.875], [48.5, -1.875], [49.0, -1.875], [49.5, -1.875], [50.0, -1.875], [43.5, -1.25], [44.0, -1.25], [44.5, -1.25], [45.0, -1.25], [45.5, -1.25], [46.0, -1.25], [46.5, -1.25], [48.5, -1.25], [49.5, -1.25], [50.0, -1.25], [45.0, -0.625], [45.5, -0.625], [49.5, -0.625], [49.5, 0.0], [50.0, 0.0], [50.0, 0.625], [50.0, 1.25], [50.5, 1.25], [51.0, 1.25], [51.0, 1.875], [51.0, 2.5], [51.5, 2.5], [42.5, 3.125], [43.0, 3.125], [43.0, 3.75], [43.5, 3.75], [43.0, 4.375], [43.5, 4.375], [43.0, 5.0], [43.5, 5.0], [43.0, 5.625], [43.5, 5.625], [43.0, 6.25], [43.0, 6.875], [43.5, 6.875], [43.5, 7.5], [44.0, 7.5], [42.0, 8.125], [42.5, 8.125], [41.5, 8.75], [42.0, 8.75], [42.5, 8.75], [43.0, 8.75], [41.0, 9.375], [41.5, 9.375], [42.0, 9.375], [42.5, 9.375], [43.0, 9.375], [42.0, 10.0], [42.5, 10.0], [43.0, 10.0]]","[7.495923224054697, 7.31936486635234, 7.144028278789653, 6.92252678680384, 6.7309445236078975, 6.57189860282077, 6.599310735314742, 6.358863046733342, 6.149746036462099, 5.9752500683110945, 6.360949398357457, 6.070083550852866, 5.578027289828854, 5.385037187610302, 6.217210171426393, 5.876898789460155, 5.560771209771957, 5.019028848210535, 4.803632755013648, 4.6323994550244105, 8.288895707726047, 7.847931518523191, 6.174704639325794, 5.788887151152796, 5.4217572349425955, 5.077370242608158, 4.47751747202216, 4.234666430562643, 4.0393857013170456, 3.898829812889381, 8.021505730637697, 7.564971331903635, 7.114283401607944, 6.670627060799063, 6.235503383860455, 5.810829503264197, 5.399071825960095, 3.960672271894994, 3.4576580191075488, 3.2923602541291226, 6.3966614352612785, 5.9415077701901, 2.8940302538489258, 2.3614980930093963, 2.112086719137607, 1.5631450483725426, 1.098719516230479, 0.769039427608352, 0.6896801483924454, 0.1437735726090317, 0.5890101639826799, 0.8550848140069776, 8.451178319416263, 7.956547747135182, 8.07436772667285, 7.5881256744604935, 8.238047482178665, 7.762065664789281, 8.444920867108488, 7.9812859563854, 8.691904312912015, 8.242174327851174, 8.975687311727867, 9.292899162855841, 8.873680855027255, 9.236799989713504, 8.843229676755083, 10.81772965947357, 10.411892817894573, 11.587829824979217, 11.187584060848362, 10.7956599698406, 10.41299722703743, 12.361778800799728, 11.966528827766721, 11.579380348345175, 11.201173434846588, 10.832844657954961, 11.990967908585887, 11.626157940205657, 11.27172504617095]","[51.0, 1.875]",0.1437735726090317
6,51.0,2.5,France,"[[48.0, -5.0], [48.5, -5.0], [47.5, -4.375], [48.0, -4.375], [48.5, -4.375], [49.0, -4.375], [47.5, -3.75], [48.0, -3.75], [48.5, -3.75], [49.0, -3.75], [47.0, -3.125], [47.5, -3.125], [48.5, -3.125], [49.0, -3.125], [46.5, -2.5], [47.0, -2.5], [47.5, -2.5], [48.5, -2.5], [49.0, -2.5], [49.5, -2.5], [43.5, -1.875], [44.0, -1.875], [46.0, -1.875], [46.5, -1.875], [47.0, -1.875], [47.5, -1.875], [48.5, -1.875], [49.0, -1.875], [49.5, -1.875], [50.0, -1.875], [43.5, -1.25], [44.0, -1.25], [44.5, -1.25], [45.0, -1.25], [45.5, -1.25], [46.0, -1.25], [46.5, -1.25], [48.5, -1.25], [49.5, -1.25], [50.0, -1.25], [45.0, -0.625], [45.5, -0.625], [49.5, -0.625], [49.5, 0.0], [50.0, 0.0], [50.0, 0.625], [50.0, 1.25], [50.5, 1.25], [51.0, 1.25], [51.0, 1.875], [51.0, 2.5], [51.5, 2.5], [42.5, 3.125], [43.0, 3.125], [43.0, 3.75], [43.5, 3.75], [43.0, 4.375], [43.5, 4.375], [43.0, 5.0], [43.5, 5.0], [43.0, 5.625], [43.5, 5.625], [43.0, 6.25], [43.0, 6.875], [43.5, 6.875], [43.5, 7.5], [44.0, 7.5], [42.0, 8.125], [42.5, 8.125], [41.5, 8.75], [42.0, 8.75], [42.5, 8.75], [43.0, 8.75], [41.0, 9.375], [41.5, 9.375], [42.0, 9.375], [42.5, 9.375], [43.0, 9.375], [42.0, 10.0], [42.5, 10.0], [43.0, 10.0]]","[7.961462434139428, 7.793661913544166, 7.592629879673821, 7.382703462968786, 7.201429882637678, 7.05101937927861, 7.0390840896833815, 6.812120576887151, 6.615230055445156, 6.451166609139818, 6.77306055052929, 6.498509917939014, 6.036819942517992, 5.856575531041885, 6.594030908377556, 6.271963452783677, 5.974429469453108, 5.468671808611388, 5.2690277359980335, 5.110668763981106, 8.549150738995243, 8.120607138045685, 6.509177215296949, 6.142122593416428, 5.794993691538599, 5.471584214593408, 4.914346109323088, 4.691170388574111, 4.512578148580939, 4.384021382186198, 8.253099701929024, 7.808324828181556, 7.370632167922379, 6.941361573007686, 6.522176202744246, 6.115150394884737, 5.722879195341674, 4.379095113620733, 3.92288642187971, 3.774297260601475, 6.632452549332393, 6.192391198201334, 3.346037090482741, 2.790007265726062, 2.576901720132109, 2.0024606880380538, 1.4698724907473604, 1.2315872163478534, 1.1717888051552035, 0.55228193507037, 0.13487649062414672, 0.6119424810704767, 8.423528070148269, 7.9254089535487955, 8.00548458326599, 7.512926549975385, 8.132939797196794, 7.648594098083847, 8.305593661909151, 7.831932584564365, 8.520699056337072, 8.059689469271076, 8.775134685039397, 9.065589615270454, 8.633724399406962, 8.972422935686497, 8.565083494587121, 10.56787366841146, 10.150676618034874, 11.329137137090658, 10.918133091486947, 10.51484246842709, 10.120187452229011, 12.095453388381484, 11.69000746804401, 11.292145789677901, 10.90269867820605, 10.522600458069837, 11.687631619248544, 11.311808644053079, 10.945926033556482]","[51.0, 2.5]",0.13487649062414672
7,51.0,3.75,Netherlands,"[[51.5, 3.125], [51.5, 3.75], [52.0, 3.75], [51.5, 4.375], [52.0, 4.375], [52.5, 4.375], [53.0, 4.375], [53.5, 4.375], [52.5, 5.0], [53.0, 5.0], [53.5, 5.0], [52.5, 5.625], [53.0, 5.625], [53.5, 5.625], [53.5, 6.25], [53.5, 6.875], [53.5, 7.5]]","[0.8258921074154643, 0.3091825505993175, 0.7823831238205399, 0.5388320017399136, 0.898259110136451, 1.3503328966544565, 1.8275471087310724, 2.3144022851430535, 1.6731392674524013, 2.077480327496567, 2.516436769318739, 2.134629027441326, 2.4643803658605923, 2.844239808891521, 3.260091435372207, 3.7346943976035254, 4.248404208640593]","[51.5, 3.125]",0.8258921074154643
8,51.5,3.75,Netherlands,"[[51.5, 3.125], [51.5, 3.75], [52.0, 3.75], [51.5, 4.375], [52.0, 4.375], [52.5, 4.375], [53.0, 4.375], [53.5, 4.375], [52.5, 5.0], [53.0, 5.0], [53.5, 5.0], [52.5, 5.625], [53.0, 5.625], [53.5, 5.625], [53.5, 6.25], [53.5, 6.875], [53.5, 7.5]]","[0.6340066481002908, 0.009249632992615435, 0.49796009454234436, 0.6160005532348409, 0.7920450628794756, 1.1726952211371353, 1.619596487315281, 2.0906868445011364, 1.5924305974054276, 1.9451770890073554, 2.351933801714081, 2.1160591516845977, 2.39281947364908, 2.7337636572169846, 3.1932091787722765, 3.701480242453098, 4.241058489474741]","[51.5, 3.75]",0.009249632992615435
9,51.5,4.375,Netherlands,"[[51.5, 3.125], [51.5, 3.75], [52.0, 3.75], [51.5, 4.375], [52.0, 4.375], [52.5, 4.375], [53.0, 4.375], [53.5, 4.375], [52.5, 5.0], [53.0, 5.0], [53.5, 5.0], [52.5, 5.625], [53.0, 5.625], [53.5, 5.625], [53.5, 6.25], [53.5, 6.875], [53.5, 7.5]]","[1.2720109872659104, 0.6498543829366122, 0.7653302046402098, 0.088653743962981, 0.41385877957505535, 0.9136184611445056, 1.4135481228655624, 1.91351454103946, 1.0961283956913002, 1.537828684526818, 2.007071664407174, 1.5328229601416832, 1.8742907539253917, 2.2751671220732144, 2.6656489267455385, 3.133086811429963, 3.648017507531056]","[51.5, 4.375]",0.088653743962981
10,42.0,27.5,Bulgaria,"[[42.5, 27.5], [42.0, 28.125], [42.5, 28.125], [43.0, 28.125], [43.5, 28.125], [43.0, 28.75], [43.5, 28.75], [44.0, 28.75]]","[0.38367657379912723, 0.6047785386593195, 0.7057731591929045, 1.063237707970971, 1.5042716161204381, 1.5042049270648794, 1.8425501713713226, 2.242175239680146]","[42.5, 28.125]",0.7057731591929045
11,42.5,27.5,Bulgaria,"[[42.5, 27.5], [42.0, 28.125], [42.5, 28.125], [43.0, 28.125], [43.5, 28.125], [43.0, 28.75], [43.5, 28.75], [44.0, 28.75]]","[0.0723578776406117, 0.8564620503617805, 0.697312142612892, 0.8596285271911697, 1.2213427796021625, 1.414644749235506, 1.6594989445808832, 2.0016627407209593]","[42.5, 27.5]",0.0723578776406117
12,43.0,27.5,Bulgaria,"[[42.5, 27.5], [42.0, 28.125], [42.5, 28.125], [43.0, 28.125], [43.5, 28.125], [43.0, 28.75], [43.5, 28.75], [44.0, 28.75]]","[0.5, 1.1792476415070754, 0.8003905296791061, 0.625, 0.8003905296791061, 1.25, 1.346291201783626, 1.6007810593582121]","[43.5, 28.125]",0.8003905296791061
13,42.0,28.125,Bulgaria,"[[42.5, 27.5], [42.0, 28.125], [42.5, 28.125], [43.0, 28.125], [43.5, 28.125], [43.0, 28.75], [43.5, 28.75], [44.0, 28.75]]","[0.5862417863964484, 0.2404754432853727, 0.4921979055278879, 0.9626469329867429, 1.4529691865182572, 1.2674850940652216, 1.6706133014735236, 2.11550919223789]","[42.0, 28.125]",0.2404754432853727
14,42.5,28.125,Bulgaria,"[[42.5, 27.5], [42.0, 28.125], [42.5, 28.125], [43.0, 28.125], [43.5, 28.125], [43.0, 28.75], [43.5, 28.75], [44.0, 28.75]]","[0.4214478392775576, 0.7763664240677138, 0.353535100876452, 0.38370471808899753, 0.8182124136285095, 0.9358675638164613, 1.1824087026640968, 1.5557418112488415]","[43.0, 28.75]",0.9358675638164613
15,43.0,28.125,Bulgaria,"[[42.5, 27.5], [42.0, 28.125], [42.5, 28.125], [43.0, 28.125], [43.5, 28.125], [43.0, 28.75], [43.5, 28.75], [44.0, 28.75]]","[0.6560904212245411, 1.071296657450419, 0.5973515297707801, 0.2568680049646935, 0.5245316900146191, 0.8795483962076431, 0.9913413655883062, 1.300734417543235]","[43.0, 28.125]",0.2568680049646935
16,43.5,28.125,Bulgaria,"[[42.5, 27.5], [42.0, 28.125], [42.5, 28.125], [43.0, 28.125], [43.5, 28.125], [43.0, 28.75], [43.5, 28.75], [44.0, 28.75]]","[1.1974665956316404, 1.539477519749162, 1.039618161475088, 0.5400192677346368, 0.04935278493119241, 0.8483810956992531, 0.6561748024693392, 0.8008621974169386]","[44.0, 28.75]",0.8008621974169386
17,43.5,28.75,Bulgaria,"[[42.5, 27.5], [42.0, 28.125], [42.5, 28.125], [43.0, 28.125], [43.5, 28.125], [43.0, 28.75], [43.5, 28.75], [44.0, 28.75]]","[1.4750646493324773, 1.623640866516372, 1.143709738978194, 0.692772885327581, 0.3896107984343284, 0.6272483702396735, 0.25554416757159576, 0.486996021740828]","[43.5, 28.75]",0.25554416757159576
18,43.5,28.75,Romania,"[[43.5, 28.75], [44.0, 28.75], [44.5, 28.75], [45.0, 28.75], [44.5, 29.375], [45.0, 29.375], [45.5, 29.375], [44.5, 30.0], [45.0, 30.0], [45.5, 30.0]]","[0.3474754874347934, 0.3505622717365072, 0.7906001507475661, 1.2756187872397802, 1.1489556457378896, 1.5238942771301376, 1.9556094855228632, 1.67224386779676, 1.9489880054481816, 2.302326852855149]","[43.5, 28.75]",0.3474754874347934
19,44.0,28.75,Romania,"[[43.5, 28.75], [44.0, 28.75], [44.5, 28.75], [45.0, 28.75], [44.5, 29.375], [45.0, 29.375], [45.5, 29.375], [44.5, 30.0], [45.0, 30.0], [45.5, 30.0]]","[0.555376595987467, 0.21640137653979785, 0.534056128291786, 1.01173234630692, 0.9726010723556985, 1.29782095773845, 1.7095980904127264, 1.5452960052135307, 1.768142001120552, 2.0891894429477387]","[44.0, 28.75]",0.21640137653979785
20,34.5,32.5,Cyprus,"[[35.0, 31.875], [34.5, 32.5], [35.0, 32.5], [35.5, 32.5], [34.5, 33.125], [35.0, 33.125], [35.5, 33.125], [34.5, 33.75], [35.0, 33.75], [35.5, 33.75], [35.0, 34.375], [35.5, 34.375], [36.0, 34.375], [35.5, 35.0], [36.0, 35.0]]","[0.8313784966133054, 0.2577451995708162, 0.33033943299715485, 0.8073510352281489, 0.5153799804645907, 0.5552549660784347, 0.922496412158793, 1.116266303632589, 1.135227736499001, 1.3533046836569094, 1.7465468645526028, 1.895552031248314, 2.1530929046979583, 2.4771054558761705, 2.679317635634598]","[34.5, 32.5]",0.2577451995708162
21,35.0,32.5,Cyprus,"[[35.0, 31.875], [34.5, 32.5], [35.0, 32.5], [35.5, 32.5], [34.5, 33.125], [35.0, 33.125], [35.5, 33.125], [34.5, 33.75], [35.0, 33.75], [35.5, 33.75], [35.0, 34.375], [35.5, 34.375], [36.0, 34.375], [35.5, 35.0], [36.0, 35.0]]","[0.7120453682645297, 0.45915412848335135, 0.09835702969810105, 0.5554508951102342, 0.7033761529419157, 0.541839094303001, 0.769702017473531, 1.2489609727094888, 1.1656565115586837, 1.2874807550122398, 1.7902990257951947, 1.8719033611142832, 2.074336950675728, 2.4762244833970555, 2.632591742705796]","[35.0, 32.5]",0.09835702969810105
22,34.5,33.125,Cyprus,"[[35.0, 31.875], [34.5, 32.5], [35.0, 32.5], [35.5, 32.5], [34.5, 33.125], [35.0, 33.125], [35.5, 33.125], [34.5, 33.75], [35.0, 33.75], [35.5, 33.75], [35.0, 34.375], [35.5, 34.375], [36.0, 34.375], [35.5, 35.0], [36.0, 35.0]]","[1.205756114974682, 0.587301757847244, 0.6164516443925891, 0.9566095885878374, 0.22877538295444147, 0.295681333448386, 0.7889972915376072, 0.7355290591957871, 0.7590074255402934, 1.0541259635969358, 1.3586784362389772, 1.5430801561178398, 1.8482926292415174, 2.105293611181145, 2.3382366142852202]","[34.5, 33.125]",0.22877538295444147
23,35.0,33.125,Cyprus,"[[35.0, 31.875], [34.5, 32.5], [35.0, 32.5], [35.5, 32.5], [34.5, 33.125], [35.0, 33.125], [35.5, 33.125], [34.5, 33.75], [35.0, 33.75], [35.5, 33.75], [35.0, 34.375], [35.5, 34.375], [36.0, 34.375], [35.5, 35.0], [36.0, 35.0]]","[1.2586311682529587, 0.8030166795846103, 0.6336486259820263, 0.8112862470957627, 0.4934003964349793, 0.01089700509368691, 0.5067480026974245, 0.7894948478066826, 0.6164226701145196, 0.7979045693245095, 1.241404475480178, 1.340805677665497, 1.5982598846175957, 1.9339384759529283, 2.120564269785038]","[35.0, 33.125]",0.01089700509368691
24,35.5,33.125,Cyprus,"[[35.0, 31.875], [34.5, 32.5], [35.0, 32.5], [35.5, 32.5], [34.5, 33.125], [35.0, 33.125], [35.5, 33.125], [34.5, 33.75], [35.0, 33.75], [35.5, 33.75], [35.0, 34.375], [35.5, 34.375], [36.0, 34.375], [35.5, 35.0], [36.0, 35.0]]","[1.3313683419403608, 1.0436554613855957, 0.7356550434124589, 0.7022534896434427, 0.7994456848699241, 0.30180295537875035, 0.2075009510666254, 0.9850178089934736, 0.6497935863430089, 0.6117216079808816, 1.238801188984605, 1.2192620746368996, 1.3923259774442487, 1.8385447200503549, 1.957605248369355]","[35.5, 33.125]",0.2075009510666254
25,35.0,33.75,Cyprus,"[[35.0, 31.875], [34.5, 32.5], [35.0, 32.5], [35.5, 32.5], [34.5, 33.125], [35.0, 33.125], [35.5, 33.125], [34.5, 33.75], [35.0, 33.75], [35.5, 33.75], [35.0, 34.375], [35.5, 34.375], [36.0, 34.375], [35.5, 35.0], [36.0, 35.0]]","[1.799104814145996, 1.2990000088854539, 1.1745977356594053, 1.2537777546870081, 0.7820183702556562, 0.5512091698703007, 0.7043510250442597, 0.5629870689014236, 0.09608983963983724, 0.4489009632578248, 0.7041910008051177, 0.8295563773166393, 1.174922380703721, 1.398594112485681, 1.6273734387077243]","[35.0, 33.75]",0.09608983963983724
26,35.5,33.75,Cyprus,"[[35.0, 31.875], [34.5, 32.5], [35.0, 32.5], [35.5, 32.5], [34.5, 33.125], [35.0, 33.125], [35.5, 33.125], [34.5, 33.75], [35.0, 33.75], [35.5, 33.75], [35.0, 34.375], [35.5, 34.375], [36.0, 34.375], [35.5, 35.0], [36.0, 35.0]]","[1.928340999012825, 1.5212609046798893, 1.3169100727129484, 1.2861841000098588, 1.0541526792863158, 0.7288726025526447, 0.6717683159075107, 0.8303559492082663, 0.3309205371247129, 0.17183073472535718, 0.684844166967896, 0.6237218390719528, 0.8994700284282109, 1.2368435890096783, 1.3963521988308285]","[35.5, 33.75]",0.17183073472535718
27,35.0,34.375,Cyprus,"[[35.0, 31.875], [34.5, 32.5], [35.0, 32.5], [35.5, 32.5], [34.5, 33.125], [35.0, 33.125], [35.5, 33.125], [34.5, 33.75], [35.0, 33.75], [35.5, 33.75], [35.0, 34.375], [35.5, 34.375], [36.0, 34.375], [35.5, 35.0], [36.0, 35.0]]","[2.1962044431566206, 1.6426253599283638, 1.5712428218215162, 1.6551102492497276, 1.0606404301480057, 0.9463318942688136, 1.0798749863554833, 0.5770166124552277, 0.3217671566446159, 0.6116535254055315, 0.30458849630266854, 0.6027935667587827, 1.0648690136216894, 1.0648239916110713, 1.3800130670237833]","[35.0, 34.375]",0.30458849630266854
28,35.5,34.375,Cyprus,"[[35.0, 31.875], [34.5, 32.5], [35.0, 32.5], [35.5, 32.5], [34.5, 33.125], [35.0, 33.125], [35.5, 33.125], [34.5, 33.75], [35.0, 33.75], [35.5, 33.75], [35.0, 34.375], [35.5, 34.375], [36.0, 34.375], [35.5, 35.0], [36.0, 35.0]]","[2.4777503865983705, 2.070528800111175, 1.8721524344061924, 1.7952214245647362, 1.5601433496491532, 1.2852674807283069, 1.1703750350126654, 1.1671568150077936, 0.7616562586773287, 0.5458804648872815, 0.5381245355370844, 0.08627422158565964, 0.4746666902926939, 0.7057981302574189, 0.8461774200710376]","[35.5, 34.375]",0.08627422158565964
29,55.5,8.125,Denmark,"[[55.5, 7.5], [56.0, 7.5], [56.5, 7.5], [55.0, 8.125], [55.5, 8.125], [56.0, 8.125], [56.5, 8.125], [57.0, 8.125], [54.5, 8.75], [55.0, 8.75], [55.5, 8.75], [56.5, 8.75], [57.0, 8.75], [57.5, 8.75], [55.0, 9.375], [55.5, 9.375], [56.5, 9.375], [57.0, 9.375], [57.5, 9.375], [54.5, 10.0], [55.0, 10.0], [55.5, 10.0], [56.0, 10.0], [57.0, 10.0], [57.5, 10.0], [58.0, 10.0], [54.5, 10.625], [55.0, 10.625], [55.5, 10.625], [56.0, 10.625], [56.5, 10.625], [57.0, 10.625], [57.5, 10.625], [58.0, 10.625], [54.5, 11.25], [55.0, 11.25], [55.5, 11.25], [56.0, 11.25], [56.5, 11.25], [57.0, 11.25], [57.5, 11.25], [54.5, 11.875], [55.0, 11.875], [55.5, 11.875], [56.0, 11.875], [56.5, 11.875], [54.5, 12.5], [55.0, 12.5], [55.5, 12.5], [56.5, 12.5], [55.0, 13.125], [55.5, 13.125], [56.0, 13.125], [55.0, 14.375], [55.5, 14.375], [55.0, 15.0], [55.5, 15.0], [55.0, 15.625]]","[0.803820778280053, 0.8784057834530419, 1.1819752946710664, 0.6470233880497988, 0.21001938361123362, 0.41179730244556545, 0.8916534613348656, 1.3858263859226554, 1.2134251875464472, 0.7732202548958045, 0.47258696489655194, 0.9870543009420195, 1.4490497126797068, 1.930081331609148, 1.248338840411058, 1.0880343456379615, 1.3909552440340527, 1.749349984341279, 2.164646447927198, 2.043186550848335, 1.8166122751915217, 1.7104236420213323, 1.7467163227022644, 2.191336502140309, 2.5352365850984255, 2.9245330258402844, 2.5879705522793737, 2.4131018329681426, 2.3342085024871304, 2.3609316402412444, 2.489872905732583, 2.706461890274869, 2.991722721162377, 3.328043526928129, 3.1625657111533507, 3.0211406379332795, 2.9585063175496016, 2.979635633393772, 3.0828067381201354, 3.2602402152921046, 3.500662099977219, 3.753305499857505, 3.634937558207788, 3.5830489710410878, 3.6005150750535124, 3.686350184463842, 4.353622913523665, 4.2519996883780795, 4.207727442073249, 4.296033982686158, 4.871086290332474, 4.832489060998895, 4.845453477382998, 6.112871031165336, 6.082159248200376, 6.734903306028829, 6.707040436613384, 7.35743860589103]","[55.5, 8.125]",0.21001938361123362
