turbine_type,0,0.5,1,1.5,2,2.5,3,3.5,4,4.2,4.5,5,5.2,5.5,6,6.2,6.5,7,7.5,8,8.1,8.5,8.8,9,9.5,10,10.2,10.5,11,11.1,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30,30.5,31,31.5,32,32.5,33,33.5,34,34.5,35,Source
N90/2500,0,0,0,0,0,0,0,0,100000,,,,250000,,500000,,,,750000,,,1000000,,1250000,,,1750000,,2000000,,2250000,2350000,,2450000,,,,2500000,,,,,,,2550000,,,,,,,,,,,,,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.econologie.com/forums/public2/Doctech.pdf
V117/4200,0,0,0,0,0,0,70000,,197000,,,394000,,,742000,,,1160000,,1693000,,,,2343000,,3073000,,,3793000,,,4175000,,4200000,,4200000,,,,,,,,,,,,,,,,,,,,,,4200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.thewindpower.net/turbine_en_1634_mhi-vestas-offshore_v117-4200.php
V164/8000,0,0,0,0,0,0,0,40000,100000,,370000,650000,,895000,1150000,,1500000,1850000,2375000,2900000,,3525000,,4150000,4875000,5600000,,6350000,7100000,,7580000,7800000,7920000,8000000,,,,,,,,,,,,,,,,,,,,,,,,8000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.thewindpower.net/turbine_en_867_vestas_v164-8000.php
S152/6330,,,,,,,0,70000,151000,,290000,434000,,697000,963000,,1353000,1743000,2286000,2828000,,3422000,,4010000,4550000,5076000,,5600000,6090000,,6250000,6300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6300000,0,0,0,0,0,0,0,0,0,0,https://www.thewindpower.net/turbine_en_1503_senvion_6.3m152.php
SWT120/3600,,,,,,,0,78000,161000,,254000,351000,,492000,635000,,831000,1026000,1285000,1544000,,1874000,,2204000,2560000,2910000,,3215000,3399000,,3510000,3568000,3585000,3596000,3598000,3600000,,,,,,,,,,,,,,,,,,,,,,3600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.thewindpower.net/turbine_en_79_siemens_swt-3.6-120.php
