country,year,offshore,bin
France,2020,1,1
France,2020,1,2
Germany,2020,1,1
United_Kingdom,2020,1,4
United_Kingdom,2020,1,5
Portugal,2030,1,1
Denmark,2050,1,1
Ireland,2050,1,1
United_Kingdom,2050,1,1
United_Kingdom,2050,1,2
United_Kingdom,2050,1,4
United_Kingdom,2050,1,5
