,lat,lon,turbine_type,rotor_diameter,rated_turbine_power,wind_turbines,wind_capacity_MW,PV_capacity_MW,electrolyzer_capacity_MW,CO2_capture_tonph,heatpump_capacity_MW,battery_capacity_MWh,H2stor_capacity_MWh,CO2stor_capacity_ton,H2tL_capacity_MW,curtailed_el_MWh,wind_production_MWh,PV_production_MWh,NPV_EUR,CAPEX_EUR,LCOF_MWh,LCOF_liter,runtime
0,46.5,12.5,N131/3300,131.0,3300.0,12.0,39.6,76.60107419985749,27.253896189567303,1.9345290867917293,4.442553919263567,5.460003045595387,1343.7351021384204,2126.1409147920585,1.2078797475943426,110.34408614962948,21884.76802916908,79614.79562417768,228017233.43237013,155556120.82382855,1392.6884438864777,13.307911797137454,599.6205830574036
1,46.5,13.125,N131/3300,131.0,3300.0,7.0,23.1,70.74568463388115,21.541944190607786,1.9105032191640958,4.38178194152436,8.64279164266395,1087.8462706361313,1922.9348338961884,1.2100494060915457,32.84522658617297,16655.614884407998,78507.68184028823,184539674.78863013,123680647.45972764,1127.1352987138227,10.77040396548764,422.20581793785095
2,46.5,13.75,N131/3300,131.0,3300.0,7.0,23.1,48.995671778606365,18.618171981737447,1.3851689368449724,3.0788012380600867,3.1892433287805413,667.7533586935166,1330.7367301854506,1.1782855952525888,2.772118440294148,38960.951366696834,53511.884571553244,141487695.80174714,94579318.18897091,864.1815179012029,8.257734504389273,905.8464031219482
3,46.5,14.375,N131/3300,131.0,3300.0,6.0,19.8,21.730640870389056,15.231925367486623,1.1298699201132023,2.4444858724951986,0.7891489095703675,776.5103341608158,828.8141322672219,1.1662237048705746,0.0,60416.928374170304,25916.110070383907,105570832.98883906,70296389.1109119,644.8077494047561,6.1614962720898925,981.4422960281372
4,46.5,15.0,N131/3300,131.0,3300.0,5.0,16.5,21.994047491860023,12.489701832440534,1.0700637185535107,2.298196217873847,0.6910577347649305,536.034242994207,715.2356456901756,1.1563284616869007,9.227739273378576,61266.84396505117,27027.37360352702,90001050.97900383,58795693.326979406,549.7103080731538,5.252787388254581,933.0500547885895
5,46.5,15.625,N131/3300,131.0,3300.0,6.0,19.8,18.332994664064977,14.49427304291999,1.1229674566962282,2.429439559439923,0.0,498.4647064206195,714.7940502995841,1.1594450377320484,4175.863133770915,64498.68949882507,24038.796976244823,93935398.00104928,60907844.782634646,573.7405953867968,5.482410133696059,828.7445690631866
6,46.5,16.25,N131/3300,131.0,3300.0,5.0,16.5,20.301024693094398,11.664417236971628,1.0136433949584651,2.1562788325991233,0.0,537.7991607705194,723.4047679695445,1.1589866711565633,35.45726611184174,62205.29257372141,28428.111577353717,86342711.08296713,56561756.901217796,527.3658228764665,5.039273418597347,801.7902100086212
7,47.0,9.375,N131/3300,131.0,3300.0,13.0,42.9,48.411344618807554,23.67615200805664,2.017584317520794,4.662007663934019,3.4355135572988886,1691.6245526374207,1837.4444282756,1.1716353676931457,11.333705419976072,38793.6328719244,47531.57638765923,210569977.63827467,142729230.17392665,1286.1237287717533,12.289626741596756,695.2400419712067
8,47.0,10.0,N131/3300,131.0,3300.0,10.0,33.0,56.46823797412992,22.67403146510281,1.6792172874515248,3.8472714844052045,2.8749676104293562,793.4867783764336,1347.2784737035986,1.1699283962675262,72.79529093238536,38547.58292585373,49528.55466909832,175103583.20474052,117003424.31344448,1069.5013404970844,10.219679475861028,798.4182431697845
9,47.0,10.625,N131/3300,131.0,3300.0,12.0,39.6,64.37549092764637,27.039114062786833,1.9217128631884681,4.496025357582571,4.772959819300333,906.044024815604,1590.482590529928,1.1819662591587417,10.310555759896612,30721.30069771385,56090.360738973926,205009361.51654696,137165569.62632892,1252.1604809196301,11.96508903989869,692.7719020843506
